scenario,region,sector,subsector,year,value,reductions,type
announced pledges scenario,world,oil,total energy supply,2030,10092.6,0.00991789,weo
announced pledges scenario,world,oil,total energy supply,2040,7169.41,0.296682265,weo
announced pledges scenario,world,oil,total energy supply,2050,5077.77,0.501871744,weo
announced pledges scenario,world,natural gas,total energy supply,2020,7161.51,0,weo
announced pledges scenario,world,natural gas,total energy supply,2030,6679.86,0.067255369,weo
announced pledges scenario,world,natural gas,total energy supply,2040,4966.95,0.306438167,weo
announced pledges scenario,world,natural gas,total energy supply,2050,3758.47,0.475184703,weo
announced pledges scenario,world,bioenergy and waste,total energy supply,2020,213.41,0,weo
announced pledges scenario,world,bioenergy and waste,total energy supply,2030,149.19,0.300923106,weo
announced pledges scenario,world,bioenergy and waste,total energy supply,2040,-176.46,1.826859098,weo
announced pledges scenario,world,bioenergy and waste,total energy supply,2050,-462.91,3.169111101,weo
net zero emissions by 2050 scenario,world,total,other energy sector,2040,112.33,0.924467785,weo
stated policies scenario,world,total,other energy sector,2050,1659.1,-0.115601339,weo
announced pledges scenario,world,total,other energy sector,2050,191.2,0.871434527,weo
net zero emissions by 2050 scenario,world,total,other energy sector,2050,-266.45,1.179164593,weo
stated policies scenario,world,total,power sector inputs,2020,13502,0,weo
announced pledges scenario,world,total,power sector inputs,2020,13502,0,weo
net zero emissions by 2050 scenario,world,total,power sector inputs,2020,13502,0,weo
stated policies scenario,world,total,power sector inputs,2030,12758.6,0.05505851,weo
announced pledges scenario,world,coal,power sector inputs,2020,9750.4,0,weo
announced pledges scenario,world,coal,power sector inputs,2030,8163.43,0.162759477,weo
announced pledges scenario,world,coal,power sector inputs,2040,4291.95,0.559818059,weo
announced pledges scenario,world,coal,power sector inputs,2050,1712.59,0.824356949,weo
announced pledges scenario,world,oil,power sector inputs,2020,557.3,0,weo
announced pledges scenario,world,oil,power sector inputs,2030,322.08,0.422070698,weo
announced pledges scenario,world,oil,power sector inputs,2040,230.35,0.586667863,weo
announced pledges scenario,world,oil,power sector inputs,2050,155.86,0.720330163,weo
announced pledges scenario,world,natural gas,power sector inputs,2020,3095.24,0,weo
announced pledges scenario,world,natural gas,power sector inputs,2030,2759.41,0.108498856,weo
announced pledges scenario,world,natural gas,power sector inputs,2040,2021.73,0.346826094,weo
announced pledges scenario,world,natural gas,power sector inputs,2050,1597.93,0.48374601,weo
announced pledges scenario,world,bioenergy and waste,power sector inputs,2020,99.1,0,weo
announced pledges scenario,world,bioenergy and waste,power sector inputs,2030,84.93,0.142986882,weo
announced pledges scenario,world,bioenergy and waste,power sector inputs,2040,-154.91,2.563168517,weo
announced pledges scenario,world,bioenergy and waste,power sector inputs,2050,-328.71,4.316952573,weo
announced pledges scenario,world,total,power sector inputs,2030,11329.9,0.160872463,weo
net zero emissions by 2050 scenario,world,total,power sector inputs,2030,7076.47,0.475894682,weo
stated policies scenario,world,total,power sector inputs,2040,10676.3,0.209280107,weo
announced pledges scenario,world,total,power sector inputs,2040,6389.13,0.526801215,weo
net zero emissions by 2050 scenario,world,total,power sector inputs,2040,-188.61,1.013969042,weo
stated policies scenario,world,total,power sector inputs,2050,9307.74,0.310639905,weo
announced pledges scenario,world,total,power sector inputs,2050,3137.67,0.767614427,weo
net zero emissions by 2050 scenario,world,total,power sector inputs,2050,-350.78,1.025979855,weo
announced pledges scenario,world,coal,total final consumption,2020,4474.28,0,weo
announced pledges scenario,world,coal,total final consumption,2030,3621.14,0.190676489,weo
announced pledges scenario,world,coal,total final consumption,2040,2239.15,0.499550766,weo
announced pledges scenario,world,coal,total final consumption,2050,1238.78,0.723133107,weo
announced pledges scenario,world,oil,total final consumption,2020,9080.06,0,weo
